,Mod_Inf,Mod_Lng_Inf,Mod_Ctl,Mod_Lng_Ctl,Genes_diff,Perc_diff
1,module_navajowhite2,62,module_navajowhite2,65,62,100
2,module_navajowhite2,62,module_lightskyblue3,41,62,100
3,module_navajowhite2,62,module_lightcoral,61,62,100
4,module_navajowhite2,62,module_orange3,36,62,100
5,module_navajowhite2,62,module_wheat1,31,62,100
6,module_navajowhite2,62,module_blue4,53,62,100
7,module_navajowhite2,62,module_lightsteelblue,61,62,100
8,module_navajowhite2,62,module_oldlace,31,62,100
9,module_navajowhite2,62,module_darkorange,77,62,100
10,module_navajowhite2,62,module_mediumpurple4,56,62,100
11,module_navajowhite2,62,module_rosybrown4,33,62,100
12,module_navajowhite2,62,module_green3,42,62,100
13,module_navajowhite2,62,module_salmon4,65,62,100
14,module_navajowhite2,62,module_lightgoldenrodyellow,33,62,100
15,module_navajowhite2,62,module_sienna2,48,62,100
16,module_navajowhite2,62,module_tomato4,34,62,100
17,module_navajowhite2,62,module_palevioletred2,57,62,100
18,module_navajowhite2,62,module_mistyrose3,33,62,100
19,module_navajowhite2,62,module_chocolate,24,62,100
20,module_navajowhite2,62,module_plum4,52,62,100
21,module_navajowhite2,62,module_mediumorchid3,36,61,98.38709677419355
22,module_navajowhite2,62,module_blue1,40,62,100
23,module_navajowhite2,62,module_darksalmon,32,62,100
24,module_navajowhite2,62,module_blue2,60,62,100
25,module_navajowhite2,62,module_limegreen,26,62,100
26,module_navajowhite2,62,module_lightskyblue4,46,62,100
27,module_navajowhite2,62,module_pink2,41,62,100
28,module_navajowhite2,62,module_deeppink,52,62,100
29,module_navajowhite2,62,module_lightslateblue,54,62,100
30,module_navajowhite2,62,module_magenta,91,62,100
31,module_navajowhite2,62,module_orangered,47,62,100
32,module_navajowhite2,62,module_whitesmoke,42,62,100
33,module_navajowhite2,62,module_chocolate1,32,60,96.7741935483871
34,module_navajowhite2,62,module_navajowhite1,57,62,100
35,module_navajowhite2,62,module_magenta3,51,62,100
36,module_navajowhite2,62,module_salmon,88,62,100
37,module_navajowhite2,62,module_midnightblue,86,62,100
38,module_navajowhite2,62,module_thistle2,66,62,100
39,module_navajowhite2,62,module_linen,33,62,100
40,module_navajowhite2,62,module_lightblue4,54,61,98.38709677419355
41,module_navajowhite2,62,module_pink,92,61,98.38709677419355
42,module_navajowhite2,62,module_antiquewhite4,63,62,100
43,module_navajowhite2,62,module_darkolivegreen2,53,59,95.16129032258064
44,module_navajowhite2,62,module_antiquewhite3,32,62,100
45,module_navajowhite2,62,module_navajowhite3,42,62,100
46,module_navajowhite2,62,module_greenyellow,90,62,100
47,module_navajowhite2,62,module_deeppink2,39,62,100
48,module_navajowhite2,62,module_tomato,44,62,100
49,module_navajowhite2,62,module_purple2,39,62,100
50,module_navajowhite2,62,module_tomato2,39,62,100
51,module_navajowhite2,62,module_honeydew,57,62,100
52,module_navajowhite2,62,module_yellowgreen,74,60,96.7741935483871
53,module_navajowhite2,62,module_deeppink1,45,61,98.38709677419355
54,module_navajowhite2,62,module_green,97,62,100
55,module_navajowhite2,62,module_red4,29,62,100
56,module_navajowhite2,62,module_darkgrey,78,62,100
57,module_navajowhite2,62,module_firebrick,40,62,100
58,module_navajowhite2,62,module_skyblue,76,62,100
59,module_navajowhite2,62,module_lightskyblue2,36,62,100
60,module_navajowhite2,62,module_antiquewhite,37,62,100
61,module_navajowhite2,62,module_coral4,48,62,100
62,module_navajowhite2,62,module_maroon,65,62,100
63,module_navajowhite2,62,module_grey60,84,62,100
64,module_navajowhite2,62,module_darkolivegreen,75,62,100
65,module_navajowhite2,62,module_mediumorchid,63,62,100
66,module_navajowhite2,62,module_lightskyblue1,30,62,100
67,module_navajowhite2,62,module_seashell4,31,62,100
68,module_navajowhite2,62,module_darkseagreen3,56,62,100
69,module_navajowhite2,62,module_magenta4,57,62,100
70,module_navajowhite2,62,module_lavenderblush1,50,62,100
71,module_navajowhite2,62,module_orange1,21,62,100
72,module_navajowhite2,62,module_sienna,37,62,100
73,module_navajowhite2,62,module_palevioletred3,65,62,100
74,module_navajowhite2,62,module_darkorchid4,24,62,100
75,module_navajowhite2,62,module_darkslateblue,68,62,100
76,module_navajowhite2,62,module_sienna1,41,62,100
77,module_navajowhite2,62,module_lightgoldenrod4,26,62,100
78,module_navajowhite2,62,module_mistyrose2,26,62,100
79,module_navajowhite2,62,module_turquoise2,29,62,100
80,module_navajowhite2,62,module_darkorange2,68,62,100
81,module_navajowhite2,62,module_royalblue,82,62,100
82,module_navajowhite2,62,module_tan,88,62,100
83,module_navajowhite2,62,module_darkseagreen,37,61,98.38709677419355
84,module_navajowhite2,62,module_plum1,71,62,100
85,module_navajowhite2,62,module_indianred3,54,60,96.7741935483871
86,module_navajowhite2,62,module_darkseagreen4,64,62,100
87,module_navajowhite2,62,module_bisque3,30,62,100
88,module_navajowhite2,62,module_darkseagreen2,50,62,100
89,module_navajowhite2,62,module_honeydew1,64,62,100
90,module_navajowhite2,62,module_firebrick2,46,62,100
91,module_navajowhite2,62,module_lavenderblush3,64,62,100
92,module_navajowhite2,62,module_darkgoldenrod3,35,62,100
93,module_navajowhite2,62,module_firebrick3,54,62,100
94,module_navajowhite2,62,module_floralwhite,69,62,100
95,module_navajowhite2,62,module_lightpink4,65,61,98.38709677419355
96,module_navajowhite2,62,module_slateblue2,37,62,100
97,module_navajowhite2,62,module_turquoise,113,62,100
98,module_navajowhite2,62,module_darkolivegreen4,60,62,100
99,module_navajowhite2,62,module_steelblue4,29,62,100
100,module_navajowhite2,62,module_mediumorchid2,30,62,100
101,module_navajowhite2,62,module_palevioletred,44,62,100
102,module_navajowhite2,62,module_plum2,67,62,100
103,module_navajowhite2,62,module_plum3,59,62,100
104,module_navajowhite2,62,module_yellow3,55,62,100
105,module_navajowhite2,62,module_deepskyblue4,29,62,100
106,module_navajowhite2,62,module_magenta1,38,62,100
107,module_navajowhite2,62,module_thistle4,52,62,100
108,module_navajowhite2,62,module_moccasin,44,61,98.38709677419355
109,module_navajowhite2,62,module_skyblue1,63,62,100
110,module_navajowhite2,62,module_cornflowerblue,42,61,98.38709677419355
111,module_navajowhite2,62,module_mediumorchid4,41,62,100
112,module_navajowhite2,62,module_orangered4,70,60,96.7741935483871
113,module_navajowhite2,62,module_thistle3,58,62,100
114,module_navajowhite2,62,module_lavenderblush,43,62,100
115,module_navajowhite2,62,module_brown,105,61,98.38709677419355
116,module_navajowhite2,62,module_chocolate4,49,62,100
117,module_navajowhite2,62,module_pink4,55,62,100
118,module_navajowhite2,62,module_lightblue2,41,62,100
119,module_navajowhite2,62,module_darkolivegreen1,46,62,100
120,module_navajowhite2,62,module_green2,38,60,96.7741935483871
121,module_navajowhite2,62,module_indianred,36,62,100
122,module_navajowhite2,62,module_lightcyan1,69,62,100
123,module_navajowhite2,62,module_burlywood1,29,62,100
124,module_navajowhite2,62,module_darkviolet,59,60,96.7741935483871
125,module_navajowhite2,62,module_thistle1,65,62,100
126,module_navajowhite2,62,module_mistyrose4,38,62,100
127,module_navajowhite2,62,module_mediumpurple3,70,62,100
128,module_navajowhite2,62,module_aquamarine,24,62,100
129,module_navajowhite2,62,module_red,96,62,100
130,module_navajowhite2,62,module_powderblue,44,62,100
131,module_navajowhite2,62,module_blue3,45,62,100
132,module_navajowhite2,62,module_violet,75,62,100
133,module_navajowhite2,62,module_darkseagreen1,42,62,100
134,module_navajowhite2,62,module_purple,90,62,100
135,module_navajowhite2,62,module_dodgerblue4,35,62,100
136,module_navajowhite2,62,module_navajowhite,52,62,100
137,module_navajowhite2,62,module_khaki3,25,62,100
138,module_navajowhite2,62,module_orangered1,54,62,100
139,module_navajowhite2,62,module_peru,31,62,100
140,module_navajowhite2,62,module_tan4,52,62,100
141,module_navajowhite2,62,module_lightyellow,83,62,100
142,module_navajowhite2,62,module_sienna4,55,62,100
143,module_navajowhite2,62,module_cyan,87,60,96.7741935483871
144,module_navajowhite2,62,module_brown3,39,62,100
145,module_navajowhite2,62,module_darkmagenta,74,62,100
146,module_navajowhite2,62,module_hotpink4,30,62,100
147,module_navajowhite2,62,module_aliceblue,42,62,100
148,module_navajowhite2,62,module_skyblue3,72,61,98.38709677419355
149,module_navajowhite2,62,module_salmon2,57,62,100
150,module_navajowhite2,62,module_saddlebrown,76,62,100
151,module_navajowhite2,62,module_royalblue2,38,62,100
152,module_navajowhite2,62,module_paleturquoise1,27,62,100
153,module_navajowhite2,62,module_blueviolet,53,62,100
154,module_navajowhite2,62,module_cyan1,24,62,100
155,module_navajowhite2,62,module_paleturquoise,75,62,100
156,module_navajowhite2,62,module_steelblue,76,62,100
157,module_navajowhite2,62,module_darkred,82,61,98.38709677419355
158,module_navajowhite2,62,module_coral,56,62,100
159,module_navajowhite2,62,module_tan1,33,62,100
160,module_navajowhite2,62,module_goldenrod4,24,62,100
161,module_navajowhite2,62,module_mediumpurple2,61,62,100
162,module_navajowhite2,62,module_lavender,38,62,100
163,module_navajowhite2,62,module_lightpink1,44,62,100
164,module_navajowhite2,62,module_mistyrose,48,62,100
165,module_navajowhite2,62,module_darkgreen,79,60,96.7741935483871
166,module_navajowhite2,62,module_navajowhite4,37,62,100
167,module_navajowhite2,62,module_white,77,62,100
168,module_navajowhite2,62,module_khaki4,33,62,100
169,module_navajowhite2,62,module_plum,62,58,93.54838709677419
170,module_navajowhite2,62,module_darkturquoise,78,62,100
171,module_navajowhite2,62,module_lightblue,30,62,100
172,module_navajowhite2,62,module_lightblue3,46,62,100
173,module_navajowhite2,62,module_skyblue4,56,62,100
174,module_navajowhite2,62,module_slateblue1,42,62,100
175,module_navajowhite2,62,module_indianred2,46,62,100
176,module_navajowhite2,62,module_burlywood,35,61,98.38709677419355
177,module_navajowhite2,62,module_firebrick4,60,61,98.38709677419355
178,module_navajowhite2,62,module_lightblue1,36,62,100
179,module_navajowhite2,62,module_orange,77,61,98.38709677419355
180,module_navajowhite2,62,module_paleturquoise3,33,62,100
181,module_navajowhite2,62,module_skyblue2,63,61,98.38709677419355
182,module_navajowhite2,62,module_coral2,63,62,100
183,module_navajowhite2,62,module_orange2,30,62,100
184,module_navajowhite2,62,module_green4,50,62,100
185,module_navajowhite2,62,module_indianred1,41,62,100
186,module_navajowhite2,62,module_magenta2,44,62,100
187,module_navajowhite2,62,module_mediumpurple1,54,62,100
188,module_navajowhite2,62,module_ivory,69,62,100
189,module_navajowhite2,62,module_black,96,61,98.38709677419355
190,module_navajowhite2,62,module_dodgerblue3,30,62,100
191,module_navajowhite2,62,module_darkgoldenrod1,30,62,100
192,module_navajowhite2,62,module_bisque4,68,62,100
193,module_navajowhite2,62,module_lightpink2,51,62,100
194,module_navajowhite2,62,module_tan3,44,62,100
195,module_navajowhite2,62,module_brown1,45,62,100
196,module_navajowhite2,62,module_lightpink,38,61,98.38709677419355
197,module_navajowhite2,62,module_lightsteelblue1,69,62,100
198,module_navajowhite2,62,module_mediumpurple,47,61,98.38709677419355
199,module_navajowhite2,62,module_lightcyan,85,62,100
200,module_navajowhite2,62,module_chocolate2,37,62,100
201,module_navajowhite2,62,module_sienna3,74,62,100
202,module_navajowhite2,62,module_coral1,64,62,100
203,module_navajowhite2,62,module_blue,108,62,100
204,module_navajowhite2,62,module_slateblue,48,62,100
205,module_navajowhite2,62,module_tan2,38,62,100
206,module_navajowhite2,62,module_thistle,57,62,100
207,module_navajowhite2,62,module_indianred4,60,62,100
208,module_navajowhite2,62,module_lightgreen,84,62,100
209,module_navajowhite2,62,module_wheat3,37,62,100
210,module_navajowhite2,62,module_brown4,68,62,100
211,module_navajowhite2,62,module_orange4,41,62,100
212,module_navajowhite2,62,module_brown2,60,61,98.38709677419355
213,module_navajowhite2,62,module_pink1,36,62,100
214,module_navajowhite2,62,module_slateblue3,31,62,100
215,module_navajowhite2,62,module_lavenderblush2,57,60,96.7741935483871
216,module_navajowhite2,62,module_cornsilk2,31,62,100
217,module_navajowhite2,62,module_cornsilk,37,62,100
218,module_navajowhite2,62,module_yellow2,48,62,100
219,module_navajowhite2,62,module_antiquewhite2,56,62,100
220,module_navajowhite2,62,module_chocolate3,42,61,98.38709677419355
221,module_navajowhite2,62,module_rosybrown3,28,62,100
222,module_navajowhite2,62,module_coral3,56,62,100
223,module_navajowhite2,62,module_orangered3,61,62,100
224,module_navajowhite2,62,module_blanchedalmond,35,62,100
225,module_navajowhite2,62,module_lightpink3,57,62,100
226,module_navajowhite2,62,module_paleturquoise4,38,62,100
227,module_navajowhite2,62,module_palevioletred1,52,62,100
228,module_navajowhite2,62,module_deepskyblue,35,62,100
229,module_navajowhite2,62,module_pink3,48,62,100
230,module_navajowhite2,62,module_salmon1,52,62,100
231,module_navajowhite2,62,module_royalblue3,44,61,98.38709677419355
232,module_navajowhite2,62,module_green1,32,62,100
233,module_navajowhite2,62,module_yellow4,63,62,100
234,module_navajowhite2,62,module_antiquewhite1,49,62,100
235,module_navajowhite2,62,module_darkgoldenrod4,40,62,100
236,module_navajowhite2,62,module_red1,34,62,100
237,module_lightskyblue3,43,module_navajowhite2,65,43,100
238,module_lightskyblue3,43,module_lightskyblue3,41,43,100
239,module_lightskyblue3,43,module_lightcoral,61,43,100
240,module_lightskyblue3,43,module_orange3,36,43,100
241,module_lightskyblue3,43,module_wheat1,31,41,95.34883720930233
242,module_lightskyblue3,43,module_blue4,53,43,100
243,module_lightskyblue3,43,module_lightsteelblue,61,43,100
244,module_lightskyblue3,43,module_oldlace,31,43,100
245,module_lightskyblue3,43,module_darkorange,77,43,100
246,module_lightskyblue3,43,module_mediumpurple4,56,43,100
247,module_lightskyblue3,43,module_rosybrown4,33,43,100
248,module_lightskyblue3,43,module_green3,42,43,100
249,module_lightskyblue3,43,module_salmon4,65,43,100
250,module_lightskyblue3,43,module_lightgoldenrodyellow,33,43,100
251,module_lightskyblue3,43,module_sienna2,48,43,100
252,module_lightskyblue3,43,module_tomato4,34,43,100
253,module_lightskyblue3,43,module_palevioletred2,57,43,100
254,module_lightskyblue3,43,module_mistyrose3,33,43,100
255,module_lightskyblue3,43,module_chocolate,24,43,100
256,module_lightskyblue3,43,module_plum4,52,43,100
257,module_lightskyblue3,43,module_mediumorchid3,36,43,100
258,module_lightskyblue3,43,module_blue1,40,43,100
259,module_lightskyblue3,43,module_darksalmon,32,43,100
260,module_lightskyblue3,43,module_blue2,60,43,100
261,module_lightskyblue3,43,module_limegreen,26,42,97.67441860465117
262,module_lightskyblue3,43,module_lightskyblue4,46,43,100
263,module_lightskyblue3,43,module_pink2,41,43,100
264,module_lightskyblue3,43,module_deeppink,52,42,97.67441860465117
265,module_lightskyblue3,43,module_lightslateblue,54,43,100
266,module_lightskyblue3,43,module_magenta,91,43,100
267,module_lightskyblue3,43,module_orangered,47,43,100
268,module_lightskyblue3,43,module_whitesmoke,42,43,100
269,module_lightskyblue3,43,module_chocolate1,32,43,100
270,module_lightskyblue3,43,module_navajowhite1,57,43,100
271,module_lightskyblue3,43,module_magenta3,51,43,100
272,module_lightskyblue3,43,module_salmon,88,43,100
273,module_lightskyblue3,43,module_midnightblue,86,43,100
274,module_lightskyblue3,43,module_thistle2,66,43,100
275,module_lightskyblue3,43,module_linen,33,43,100
276,module_lightskyblue3,43,module_lightblue4,54,41,95.34883720930233
277,module_lightskyblue3,43,module_pink,92,42,97.67441860465117
278,module_lightskyblue3,43,module_antiquewhite4,63,43,100
279,module_lightskyblue3,43,module_darkolivegreen2,53,43,100
280,module_lightskyblue3,43,module_antiquewhite3,32,43,100
281,module_lightskyblue3,43,module_navajowhite3,42,42,97.67441860465117
282,module_lightskyblue3,43,module_greenyellow,90,42,97.67441860465117
283,module_lightskyblue3,43,module_deeppink2,39,43,100
284,module_lightskyblue3,43,module_tomato,44,43,100
285,module_lightskyblue3,43,module_purple2,39,43,100
286,module_lightskyblue3,43,module_tomato2,39,43,100
287,module_lightskyblue3,43,module_honeydew,57,42,97.67441860465117
288,module_lightskyblue3,43,module_yellowgreen,74,43,100
289,module_lightskyblue3,43,module_deeppink1,45,43,100
290,module_lightskyblue3,43,module_green,97,43,100
291,module_lightskyblue3,43,module_red4,29,43,100
292,module_lightskyblue3,43,module_darkgrey,78,43,100
293,module_lightskyblue3,43,module_firebrick,40,43,100
294,module_lightskyblue3,43,module_skyblue,76,43,100
295,module_lightskyblue3,43,module_lightskyblue2,36,43,100
296,module_lightskyblue3,43,module_antiquewhite,37,43,100
297,module_lightskyblue3,43,module_coral4,48,43,100
298,module_lightskyblue3,43,module_maroon,65,43,100
299,module_lightskyblue3,43,module_grey60,84,43,100
300,module_lightskyblue3,43,module_darkolivegreen,75,43,100
301,module_lightskyblue3,43,module_mediumorchid,63,43,100
302,module_lightskyblue3,43,module_lightskyblue1,30,43,100
303,module_lightskyblue3,43,module_seashell4,31,43,100
304,module_lightskyblue3,43,module_darkseagreen3,56,43,100
305,module_lightskyblue3,43,module_magenta4,57,43,100
306,module_lightskyblue3,43,module_lavenderblush1,50,43,100
307,module_lightskyblue3,43,module_orange1,21,43,100
308,module_lightskyblue3,43,module_sienna,37,43,100
309,module_lightskyblue3,43,module_palevioletred3,65,43,100
310,module_lightskyblue3,43,module_darkorchid4,24,43,100
311,module_lightskyblue3,43,module_darkslateblue,68,43,100
312,module_lightskyblue3,43,module_sienna1,41,43,100
313,module_lightskyblue3,43,module_lightgoldenrod4,26,43,100
314,module_lightskyblue3,43,module_mistyrose2,26,43,100
315,module_lightskyblue3,43,module_turquoise2,29,43,100
316,module_lightskyblue3,43,module_darkorange2,68,42,97.67441860465117
317,module_lightskyblue3,43,module_royalblue,82,43,100
318,module_lightskyblue3,43,module_tan,88,43,100
319,module_lightskyblue3,43,module_darkseagreen,37,43,100
320,module_lightskyblue3,43,module_plum1,71,43,100
321,module_lightskyblue3,43,module_indianred3,54,43,100
322,module_lightskyblue3,43,module_darkseagreen4,64,43,100
323,module_lightskyblue3,43,module_bisque3,30,43,100
324,module_lightskyblue3,43,module_darkseagreen2,50,43,100
325,module_lightskyblue3,43,module_honeydew1,64,43,100
326,module_lightskyblue3,43,module_firebrick2,46,43,100
327,module_lightskyblue3,43,module_lavenderblush3,64,43,100
328,module_lightskyblue3,43,module_darkgoldenrod3,35,42,97.67441860465117
329,module_lightskyblue3,43,module_firebrick3,54,43,100
330,module_lightskyblue3,43,module_floralwhite,69,43,100
331,module_lightskyblue3,43,module_lightpink4,65,43,100
332,module_lightskyblue3,43,module_slateblue2,37,43,100
333,module_lightskyblue3,43,module_turquoise,113,43,100
334,module_lightskyblue3,43,module_darkolivegreen4,60,43,100
335,module_lightskyblue3,43,module_steelblue4,29,43,100
336,module_lightskyblue3,43,module_mediumorchid2,30,43,100
337,module_lightskyblue3,43,module_palevioletred,44,43,100
338,module_lightskyblue3,43,module_plum2,67,43,100
339,module_lightskyblue3,43,module_plum3,59,43,100
340,module_lightskyblue3,43,module_yellow3,55,43,100
341,module_lightskyblue3,43,module_deepskyblue4,29,41,95.34883720930233
342,module_lightskyblue3,43,module_magenta1,38,43,100
343,module_lightskyblue3,43,module_thistle4,52,43,100
344,module_lightskyblue3,43,module_moccasin,44,42,97.67441860465117
345,module_lightskyblue3,43,module_skyblue1,63,43,100
346,module_lightskyblue3,43,module_cornflowerblue,42,42,97.67441860465117
347,module_lightskyblue3,43,module_mediumorchid4,41,43,100
348,module_lightskyblue3,43,module_orangered4,70,43,100
349,module_lightskyblue3,43,module_thistle3,58,42,97.67441860465117
350,module_lightskyblue3,43,module_lavenderblush,43,43,100
351,module_lightskyblue3,43,module_brown,105,42,97.67441860465117
352,module_lightskyblue3,43,module_chocolate4,49,43,100
353,module_lightskyblue3,43,module_pink4,55,43,100
354,module_lightskyblue3,43,module_lightblue2,41,43,100
355,module_lightskyblue3,43,module_darkolivegreen1,46,43,100
356,module_lightskyblue3,43,module_green2,38,43,100
357,module_lightskyblue3,43,module_indianred,36,43,100
358,module_lightskyblue3,43,module_lightcyan1,69,43,100
359,module_lightskyblue3,43,module_burlywood1,29,43,100
360,module_lightskyblue3,43,module_darkviolet,59,43,100
361,module_lightskyblue3,43,module_thistle1,65,43,100
362,module_lightskyblue3,43,module_mistyrose4,38,43,100
363,module_lightskyblue3,43,module_mediumpurple3,70,43,100
364,module_lightskyblue3,43,module_aquamarine,24,43,100
365,module_lightskyblue3,43,module_red,96,43,100
366,module_lightskyblue3,43,module_powderblue,44,43,100
367,module_lightskyblue3,43,module_blue3,45,43,100
368,module_lightskyblue3,43,module_violet,75,43,100
369,module_lightskyblue3,43,module_darkseagreen1,42,43,100
370,module_lightskyblue3,43,module_purple,90,43,100
371,module_lightskyblue3,43,module_dodgerblue4,35,43,100
372,module_lightskyblue3,43,module_navajowhite,52,43,100
373,module_lightskyblue3,43,module_khaki3,25,43,100
374,module_lightskyblue3,43,module_orangered1,54,43,100
375,module_lightskyblue3,43,module_peru,31,43,100
376,module_lightskyblue3,43,module_tan4,52,43,100
377,module_lightskyblue3,43,module_lightyellow,83,43,100
378,module_lightskyblue3,43,module_sienna4,55,43,100
379,module_lightskyblue3,43,module_cyan,87,42,97.67441860465117
380,module_lightskyblue3,43,module_brown3,39,43,100
381,module_lightskyblue3,43,module_darkmagenta,74,43,100
382,module_lightskyblue3,43,module_hotpink4,30,43,100
383,module_lightskyblue3,43,module_aliceblue,42,43,100
384,module_lightskyblue3,43,module_skyblue3,72,43,100
385,module_lightskyblue3,43,module_salmon2,57,43,100
386,module_lightskyblue3,43,module_saddlebrown,76,43,100
387,module_lightskyblue3,43,module_royalblue2,38,43,100
388,module_lightskyblue3,43,module_paleturquoise1,27,43,100
389,module_lightskyblue3,43,module_blueviolet,53,42,97.67441860465117
390,module_lightskyblue3,43,module_cyan1,24,43,100
391,module_lightskyblue3,43,module_paleturquoise,75,43,100
392,module_lightskyblue3,43,module_steelblue,76,42,97.67441860465117
393,module_lightskyblue3,43,module_darkred,82,42,97.67441860465117
394,module_lightskyblue3,43,module_coral,56,43,100
395,module_lightskyblue3,43,module_tan1,33,43,100
396,module_lightskyblue3,43,module_goldenrod4,24,43,100
397,module_lightskyblue3,43,module_mediumpurple2,61,43,100
398,module_lightskyblue3,43,module_lavender,38,43,100
399,module_lightskyblue3,43,module_lightpink1,44,43,100
400,module_lightskyblue3,43,module_mistyrose,48,43,100
401,module_lightskyblue3,43,module_darkgreen,79,42,97.67441860465117
402,module_lightskyblue3,43,module_navajowhite4,37,43,100
403,module_lightskyblue3,43,module_white,77,43,100
404,module_lightskyblue3,43,module_khaki4,33,43,100
405,module_lightskyblue3,43,module_plum,62,43,100
406,module_lightskyblue3,43,module_darkturquoise,78,43,100
407,module_lightskyblue3,43,module_lightblue,30,43,100
408,module_lightskyblue3,43,module_lightblue3,46,43,100
409,module_lightskyblue3,43,module_skyblue4,56,42,97.67441860465117
410,module_lightskyblue3,43,module_slateblue1,42,43,100
411,module_lightskyblue3,43,module_indianred2,46,42,97.67441860465117
412,module_lightskyblue3,43,module_burlywood,35,43,100
413,module_lightskyblue3,43,module_firebrick4,60,43,100
414,module_lightskyblue3,43,module_lightblue1,36,43,100
415,module_lightskyblue3,43,module_orange,77,43,100
416,module_lightskyblue3,43,module_paleturquoise3,33,43,100
417,module_lightskyblue3,43,module_skyblue2,63,43,100
418,module_lightskyblue3,43,module_coral2,63,43,100
419,module_lightskyblue3,43,module_orange2,30,43,100
420,module_lightskyblue3,43,module_green4,50,43,100
421,module_lightskyblue3,43,module_indianred1,41,43,100
422,module_lightskyblue3,43,module_magenta2,44,43,100
423,module_lightskyblue3,43,module_mediumpurple1,54,43,100
424,module_lightskyblue3,43,module_ivory,69,42,97.67441860465117
425,module_lightskyblue3,43,module_black,96,43,100
426,module_lightskyblue3,43,module_dodgerblue3,30,43,100
427,module_lightskyblue3,43,module_darkgoldenrod1,30,42,97.67441860465117
428,module_lightskyblue3,43,module_bisque4,68,43,100
429,module_lightskyblue3,43,module_lightpink2,51,43,100
430,module_lightskyblue3,43,module_tan3,44,43,100
431,module_lightskyblue3,43,module_brown1,45,43,100
432,module_lightskyblue3,43,module_lightpink,38,43,100
433,module_lightskyblue3,43,module_lightsteelblue1,69,43,100
434,module_lightskyblue3,43,module_mediumpurple,47,43,100
435,module_lightskyblue3,43,module_lightcyan,85,41,95.34883720930233
436,module_lightskyblue3,43,module_chocolate2,37,43,100
437,module_lightskyblue3,43,module_sienna3,74,43,100
438,module_lightskyblue3,43,module_coral1,64,43,100
439,module_lightskyblue3,43,module_blue,108,43,100
440,module_lightskyblue3,43,module_slateblue,48,42,97.67441860465117
441,module_lightskyblue3,43,module_tan2,38,43,100
442,module_lightskyblue3,43,module_thistle,57,43,100
443,module_lightskyblue3,43,module_indianred4,60,43,100
444,module_lightskyblue3,43,module_lightgreen,84,43,100
445,module_lightskyblue3,43,module_wheat3,37,43,100
446,module_lightskyblue3,43,module_brown4,68,43,100
447,module_lightskyblue3,43,module_orange4,41,43,100
448,module_lightskyblue3,43,module_brown2,60,43,100
449,module_lightskyblue3,43,module_pink1,36,43,100
450,module_lightskyblue3,43,module_slateblue3,31,43,100
451,module_lightskyblue3,43,module_lavenderblush2,57,42,97.67441860465117
452,module_lightskyblue3,43,module_cornsilk2,31,43,100
453,module_lightskyblue3,43,module_cornsilk,37,43,100
454,module_lightskyblue3,43,module_yellow2,48,42,97.67441860465117
455,module_lightskyblue3,43,module_antiquewhite2,56,42,97.67441860465117
456,module_lightskyblue3,43,module_chocolate3,42,43,100
457,module_lightskyblue3,43,module_rosybrown3,28,43,100
458,module_lightskyblue3,43,module_coral3,56,43,100
459,module_lightskyblue3,43,module_orangered3,61,43,100
460,module_lightskyblue3,43,module_blanchedalmond,35,43,100
461,module_lightskyblue3,43,module_lightpink3,57,43,100
462,module_lightskyblue3,43,module_paleturquoise4,38,43,100
463,module_lightskyblue3,43,module_palevioletred1,52,43,100
464,module_lightskyblue3,43,module_deepskyblue,35,43,100
465,module_lightskyblue3,43,module_pink3,48,43,100
466,module_lightskyblue3,43,module_salmon1,52,43,100
467,module_lightskyblue3,43,module_royalblue3,44,43,100
468,module_lightskyblue3,43,module_green1,32,43,100
469,module_lightskyblue3,43,module_yellow4,63,43,100
470,module_lightskyblue3,43,module_antiquewhite1,49,43,100
471,module_lightskyblue3,43,module_darkgoldenrod4,40,43,100
472,module_lightskyblue3,43,module_red1,34,43,100
473,module_lightcoral,58,module_navajowhite2,65,58,100
474,module_lightcoral,58,module_lightskyblue3,41,58,100
475,module_lightcoral,58,module_lightcoral,61,57,98.27586206896552
476,module_lightcoral,58,module_orange3,36,55,94.82758620689656
477,module_lightcoral,58,module_wheat1,31,57,98.27586206896552
478,module_lightcoral,58,module_blue4,53,58,100
479,module_lightcoral,58,module_lightsteelblue,61,58,100
480,module_lightcoral,58,module_oldlace,31,58,100
481,module_lightcoral,58,module_darkorange,77,58,100
482,module_lightcoral,58,module_mediumpurple4,56,58,100
483,module_lightcoral,58,module_rosybrown4,33,58,100
484,module_lightcoral,58,module_green3,42,58,100
485,module_lightcoral,58,module_salmon4,65,58,100
486,module_lightcoral,58,module_lightgoldenrodyellow,33,58,100
487,module_lightcoral,58,module_sienna2,48,58,100
488,module_lightcoral,58,module_tomato4,34,58,100
489,module_lightcoral,58,module_palevioletred2,57,58,100
490,module_lightcoral,58,module_mistyrose3,33,58,100
491,module_lightcoral,58,module_chocolate,24,58,100
492,module_lightcoral,58,module_plum4,52,58,100
493,module_lightcoral,58,module_mediumorchid3,36,58,100
494,module_lightcoral,58,module_blue1,40,58,100
495,module_lightcoral,58,module_darksalmon,32,58,100
496,module_lightcoral,58,module_blue2,60,58,100
497,module_lightcoral,58,module_limegreen,26,58,100
498,module_lightcoral,58,module_lightskyblue4,46,58,100
499,module_lightcoral,58,module_pink2,41,58,100
500,module_lightcoral,58,module_deeppink,52,58,100
